(159, '0AFC18C5-E5D2-4F2C-A877-1DF5ADC85262', 'По норме', 'ФЛ', Decimal('9.760'), '09-2022')
(159, '0AFC18C5-E5D2-4F2C-A877-1DF5ADC85262', 'По прибору', 'ФЛ', Decimal('10.000'), '09-2022')
(159, '0AFC18C5-E5D2-4F2C-A877-1DF5ADC85262', 'По среднему', 'ФЛ', Decimal('0.439'), '09-2022')
(160, 'D43870BF-C88E-42AF-A915-E5657B38A174', 'По прибору', 'ФЛ', Decimal('6.000'), '09-2022')
(161, 'DDE74C62-4536-4C3C-8170-87A7729D8BE5', 'По норме', 'ФЛ', Decimal('15.600'), '09-2022')
(161, 'DDE74C62-4536-4C3C-8170-87A7729D8BE5', 'По прибору', 'ФЛ', Decimal('7.000'), '09-2022')
(162, '44A56848-8C68-4CC3-BD46-22F12BE61ED1', 'По норме', 'ФЛ', Decimal('40.880'), '09-2022')
(162, '44A56848-8C68-4CC3-BD46-22F12BE61ED1', 'По норме-несв. показ', 'ФЛ', Decimal('15.250'), '09-2022')
(162, '44A56848-8C68-4CC3-BD46-22F12BE61ED1', 'По прибору', 'ФЛ', Decimal('24.000'), '09-2022')
(162, '44A56848-8C68-4CC3-BD46-22F12BE61ED1', 'По среднему', 'ФЛ', Decimal('-2.559'), '09-2022')
(163, 'C83C7172-1C77-4D91-8A32-D7884BE4D236', 'По норме', 'ФЛ', Decimal('55.578'), '09-2022')
(163, 'C83C7172-1C77-4D91-8A32-D7884BE4D236', 'По норме-несв. показ', 'ФЛ', Decimal('2.700'), '09-2022')
(163, 'C83C7172-1C77-4D91-8A32-D7884BE4D236', 'По прибору', 'ФЛ', Decimal('9.000'), '09-2022')
(164, '3C383A74-B1C6-4F4B-A2C7-146379E3833C', 'По норме', 'ФЛ', Decimal('74.483'), '09-2022')
(164, '3C383A74-B1C6-4F4B-A2C7-146379E3833C', 'По норме-несв. показ', 'ФЛ', Decimal('3.770'), '09-2022')
(164, '3C383A74-B1C6-4F4B-A2C7-146379E3833C', 'По прибору', 'ФЛ', Decimal('0.000'), '09-2022')
(165, 'FE714D9B-5209-474A-B85F-9FD055BB0506', 'По норме', 'ФЛ', Decimal('23.154'), '09-2022')
(165, 'FE714D9B-5209-474A-B85F-9FD055BB0506', 'По прибору', 'ФЛ', Decimal('5.000'), '09-2022')
(166, 'B57F1CA4-3657-45C9-A3B5-09DEAF3210C6', 'По норме', 'ФЛ', Decimal('29.880'), '09-2022')
(166, 'B57F1CA4-3657-45C9-A3B5-09DEAF3210C6', 'По прибору', 'ФЛ', Decimal('16.000'), '09-2022')
(166, 'B57F1CA4-3657-45C9-A3B5-09DEAF3210C6', 'По среднему', 'ФЛ', Decimal('2.975'), '09-2022')
(167, 'B5F0B70E-28C6-473D-B34D-73E36F270074', 'По прибору', 'ФЛ', Decimal('44.000'), '09-2022')
(168, 'DB986912-80DD-47D0-8F8D-A29F2465BD8B', 'По норме', 'ФЛ', Decimal('28.610'), '09-2022')
(168, 'DB986912-80DD-47D0-8F8D-A29F2465BD8B', 'По норме-несв. показ', 'ФЛ', Decimal('2.230'), '09-2022')
(168, 'DB986912-80DD-47D0-8F8D-A29F2465BD8B', 'По прибору', 'ФЛ', Decimal('5.000'), '09-2022')
(169, 'F2BEF371-AE9C-473C-AE23-2F80D500C8F1', 'По норме', 'ФЛ', Decimal('14.601'), '09-2022')
(169, 'F2BEF371-AE9C-473C-AE23-2F80D500C8F1', 'По прибору', 'ФЛ', Decimal('17.000'), '09-2022')
(169, 'F2BEF371-AE9C-473C-AE23-2F80D500C8F1', 'По среднему', 'ФЛ', Decimal('3.404'), '09-2022')
(170, 'D2212146-138A-45C5-9FBF-F0F0B6F6E7BD', 'По норме', 'ФЛ', Decimal('0.000'), '09-2022')
(170, 'D2212146-138A-45C5-9FBF-F0F0B6F6E7BD', 'По норме-несв. показ', 'ФЛ', Decimal('3.050'), '09-2022')
(170, 'D2212146-138A-45C5-9FBF-F0F0B6F6E7BD', 'По прибору', 'ФЛ', Decimal('8.000'), '09-2022')
(170, 'D2212146-138A-45C5-9FBF-F0F0B6F6E7BD', 'По среднему', 'ФЛ', Decimal('1.705'), '09-2022')
(171, '4F519CE0-576A-4804-9AA1-20A661CC960D', 'По норме', 'ФЛ', Decimal('5.100'), '09-2022')
(172, '9C20031C-37D5-4EA9-A9A3-B805B3DF4788', 'По норме', 'ФЛ', Decimal('16.850'), '09-2022')
(172, '9C20031C-37D5-4EA9-A9A3-B805B3DF4788', 'По прибору', 'ФЛ', Decimal('20.000'), '09-2022')
(172, '9C20031C-37D5-4EA9-A9A3-B805B3DF4788', 'По среднему', 'ФЛ', Decimal('-5.328'), '09-2022')
(173, '4A27CAC1-EEF3-42AD-9686-471774217F94', 'По прибору', 'ФЛ', Decimal('9.000'), '09-2022')
(174, '6D014D9C-4C9A-4462-BC8F-5D42374F9BCD', 'По среднему', 'ФЛ', Decimal('41.046'), '09-2022')
(175, 'DE1F293E-F546-4309-BA70-A43CC866A8C9', 'по водомеру', 'ЮР', Decimal('14.000'), '09-2022')
(177, '43B7B20A-BC80-4C11-BD02-81D337C754B7', 'По норме', 'ФЛ', Decimal('5.445'), '09-2022')
(177, '43B7B20A-BC80-4C11-BD02-81D337C754B7', 'По прибору', 'ФЛ', Decimal('21.000'), '09-2022')
(177, '43B7B20A-BC80-4C11-BD02-81D337C754B7', 'По среднему', 'ФЛ', Decimal('-1.363'), '09-2022')
(178, 'F2D8BF6D-DFA3-4CF7-9C34-3F6877BA163B', 'По норме', 'ФЛ', Decimal('26.500'), '09-2022')
(179, 'F783DB37-24FD-4D36-98E0-E989622AA6B0', 'По норме', 'ФЛ', Decimal('5.100'), '09-2022')
